Company Name,Full Address,Activities,Company ID,Start Date,See Also,Number of Employees,Turnover,Last Year
WOLF-SAFCO,"Eikenlaan 41, 3090 Overijse, Belgium","46460, 46460, 51460, 51460",403097257,1952-10-13,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=403097257, databe: https://data.be/en/company/0403097257, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0403097257&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0403097257, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=403097257, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0403097257, kbodata: http://data.kbodata.be/organisation/0403_097_257, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0403097257, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0403097257, opencorporates: https://opencorporates.com/companies/be/0403097257, opencorporatesapi: https://api.opencorporates.com/companies/be/0403097257, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0403097257, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0403097257, trendstop: http://trendstop.knack.be/en/detail/0403097257, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0403097257",n.b.,n.b.,2022.0
ORTHOPAEDIN,"Sint-Rochusstraat 28, 2100 Antwerpen, Belgium","32500, 46460, 51460, 33103",403782987,1968-01-01,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=403782987, databe: https://data.be/en/company/0403782987, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0403782987&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0403782987, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=403782987, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0403782987, kbodata: http://data.kbodata.be/organisation/0403_782_987, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0403782987, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0403782987, opencorporates: https://opencorporates.com/companies/be/0403782987, opencorporatesapi: https://api.opencorporates.com/companies/be/0403782987, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0403782987, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0403782987, trendstop: http://trendstop.knack.be/en/detail/0403782987, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0403782987",2,n.b.,2022.0
LIPHA,"Brusselsesteenweg 288, 3090 Overijse, Belgium",,419985650,1979-12-06,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=419985650, databe: https://data.be/en/company/0419985650, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0419985650&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0419985650, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=419985650, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0419985650, kbodata: http://data.kbodata.be/organisation/0419_985_650, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0419985650, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0419985650, opencorporates: https://opencorporates.com/companies/be/0419985650, opencorporatesapi: https://api.opencorporates.com/companies/be/0419985650, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0419985650, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0419985650, trendstop: http://trendstop.knack.be/en/detail/0419985650, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0419985650",n.b.,0,1998.0
BARETTE,"Waterloose Steenweg 648, 1050 Elsene, Belgium","46460, 46460, 47740, 68311, 51460, 52320, 70311, 51460",420122242,1980-02-06,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=420122242, databe: https://data.be/en/company/0420122242, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0420122242&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0420122242, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=420122242, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0420122242, kbodata: http://data.kbodata.be/organisation/0420_122_242, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0420122242, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0420122242, opencorporates: https://opencorporates.com/companies/be/0420122242, opencorporatesapi: https://api.opencorporates.com/companies/be/0420122242, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0420122242, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0420122242, trendstop: http://trendstop.knack.be/en/detail/0420122242, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0420122242",2,n.b.,2022.0
LABORIMPEX,"Bondgenotenstraat 78-80, 1190 Vorst, Belgium","46499, 46460, 51460, 51478",420691374,1980-09-03,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=420691374, databe: https://data.be/en/company/0420691374, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0420691374&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0420691374, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=420691374, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0420691374, kbodata: http://data.kbodata.be/organisation/0420_691_374, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0420691374, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0420691374, opencorporates: https://opencorporates.com/companies/be/0420691374, opencorporatesapi: https://api.opencorporates.com/companies/be/0420691374, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0420691374, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0420691374, trendstop: http://trendstop.knack.be/en/detail/0420691374, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0420691374",3,n.b.,2022.0
LIVAUDIO,"Privilegiënsquare 12, 1083 Ganshoren, Belgium","46460, 46360, 47740, 51360",424329369,1983-07-27,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=424329369, databe: https://data.be/en/company/0424329369, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0424329369&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0424329369, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=424329369, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0424329369, kbodata: http://data.kbodata.be/organisation/0424_329_369, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0424329369, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0424329369, opencorporates: https://opencorporates.com/companies/be/0424329369, opencorporatesapi: https://api.opencorporates.com/companies/be/0424329369, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0424329369, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0424329369, trendstop: http://trendstop.knack.be/en/detail/0424329369, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0424329369",n.b.,n.b.,2023.0
"MEDICAL,EQUIPMENT,DEVICES & ONCOLOGY CONSULTANCY",No result,No activities found,No ID,No Start Date,No See Also Info,n.b.,n.b.,2023.0
MG PHARMA,"Molièrelaan 10, 1190 Vorst, Belgium","46460, 47730, 64200, 74909",427381406,1985-06-04,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=427381406, databe: https://data.be/en/company/0427381406, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0427381406&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0427381406, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=427381406, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0427381406, kbodata: http://data.kbodata.be/organisation/0427_381_406, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0427381406, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0427381406, opencorporates: https://opencorporates.com/companies/be/0427381406, opencorporatesapi: https://api.opencorporates.com/companies/be/0427381406, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0427381406, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0427381406, trendstop: http://trendstop.knack.be/en/detail/0427381406, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0427381406",n.b.,n.b.,2022.0
'T BEGIJNTJE,"Baalsesteenweg 8, 3130 Begijnendijk, Belgium","47730, 46460, 47730, 51460, 52310, 52310",428575890,1986-02-27,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=428575890, databe: https://data.be/en/company/0428575890, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0428575890&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0428575890, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=428575890, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0428575890, kbodata: http://data.kbodata.be/organisation/0428_575_890, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0428575890, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0428575890, opencorporates: https://opencorporates.com/companies/be/0428575890, opencorporatesapi: https://api.opencorporates.com/companies/be/0428575890, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0428575890, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0428575890, trendstop: http://trendstop.knack.be/en/detail/0428575890, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0428575890",2,n.b.,2022.0
SCHAEPS,"Bist 26, 2180 Antwerpen, Belgium","47740, 46460, 47740, 51460, 52320, 52320",431432145,1987-06-17,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=431432145, databe: https://data.be/en/company/0431432145, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0431432145&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0431432145, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=431432145, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0431432145, kbodata: http://data.kbodata.be/organisation/0431_432_145, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0431432145, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0431432145, opencorporates: https://opencorporates.com/companies/be/0431432145, opencorporatesapi: https://api.opencorporates.com/companies/be/0431432145, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0431432145, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0431432145, trendstop: http://trendstop.knack.be/en/detail/0431432145, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0431432145",10,n.b.,2022.0
T.M.C.,"Ninoofsesteenweg 262, 1080 Sint-Jans-Molenbeek, Belgium",,402639476,1967-07-13,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=402639476, databe: https://data.be/en/company/0402639476, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0402639476&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0402639476, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=402639476, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0402639476, kbodata: http://data.kbodata.be/organisation/0402_639_476, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0402639476, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0402639476, opencorporates: https://opencorporates.com/companies/be/0402639476, opencorporatesapi: https://api.opencorporates.com/companies/be/0402639476, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0402639476, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0402639476, trendstop: http://trendstop.knack.be/en/detail/0402639476, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0402639476",n.b.,n.b.,2023.0
