Company Name,Full Address,Activities,Company ID,Start Date,See Also,Number of Employees,Turnover,Last Year
PFIZER,"Pleinlaan 17, 1050 Elsene, Belgium","21201, 46460, 51460, 24421",401994823,1954-02-01,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=401994823, databe: https://data.be/en/company/0401994823, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0401994823&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0401994823, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=401994823, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0401994823, kbodata: http://data.kbodata.be/organisation/0401_994_823, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0401994823, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0401994823, opencorporates: https://opencorporates.com/companies/be/0401994823, opencorporatesapi: https://api.opencorporates.com/companies/be/0401994823, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0401994823, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0401994823, trendstop: http://trendstop.knack.be/en/detail/0401994823, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0401994823",336,548215.545,2022.0
MSD BELGIUM,"Lynxbinnenhof 5, 1200 Sint-Lambrechts-Woluwe, Belgium","46460, 46460, 20590, 51460, 24660, 51460",406820770,1969-10-23,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=406820770, databe: https://data.be/en/company/0406820770, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0406820770&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0406820770, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=406820770, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0406820770, kbodata: http://data.kbodata.be/organisation/0406_820_770, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0406820770, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0406820770, opencorporates: https://opencorporates.com/companies/be/0406820770, opencorporatesapi: https://api.opencorporates.com/companies/be/0406820770, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0406820770, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0406820770, trendstop: http://trendstop.knack.be/en/detail/0406820770, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0406820770",150,516006.896,2022.0
CENTRE EUROPEEN DE REPARTITION PHARMACEUTIQUE,"Humaniteitslaan 55, 1070 Anderlecht, Belgium","46460, 46460, 51460, 51460",403057962,1968-01-01,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=403057962, databe: https://data.be/en/company/0403057962, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0403057962&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0403057962, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=403057962, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0403057962, kbodata: http://data.kbodata.be/organisation/0403_057_962, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0403057962, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0403057962, opencorporates: https://opencorporates.com/companies/be/0403057962, opencorporatesapi: https://api.opencorporates.com/companies/be/0403057962, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0403057962, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0403057962, trendstop: http://trendstop.knack.be/en/detail/0403057962, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0403057962",224,415731.389,2022.0
JOHNSON & JOHNSON MEDICAL,"Leonardo da Vincilaan 15, 1831 Machelen (Brab.), Belgium","46460, 46460, 47740, 74131, 51460",425967580,1984-06-07,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=425967580, databe: https://data.be/en/company/0425967580, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0425967580&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0425967580, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=425967580, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0425967580, kbodata: http://data.kbodata.be/organisation/0425_967_580, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0425967580, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0425967580, opencorporates: https://opencorporates.com/companies/be/0425967580, opencorporatesapi: https://api.opencorporates.com/companies/be/0425967580, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0425967580, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0425967580, trendstop: http://trendstop.knack.be/en/detail/0425967580, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0425967580",262,341828.014,2022.0
NOVARTIS PHARMA,"Medialaan 40, 1800 Vilvoorde, Belgium","46460, 46460, 46389, 51384, 51460",459093476,1996-10-25,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=459093476, databe: https://data.be/en/company/0459093476, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0459093476&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0459093476, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=459093476, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0459093476, kbodata: http://data.kbodata.be/organisation/0459_093_476, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0459093476, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0459093476, opencorporates: https://opencorporates.com/companies/be/0459093476, opencorporatesapi: https://api.opencorporates.com/companies/be/0459093476, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0459093476, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0459093476, trendstop: http://trendstop.knack.be/en/detail/0459093476, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0459093476",280,323986.818,2022.0
TERUMO BCT EUROPE,"Ikaroslaan 41, 1930 Zaventem, Belgium","46460, 46460, 51460, 51460",413166055,1973-05-11,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=413166055, databe: https://data.be/en/company/0413166055, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0413166055&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0413166055, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=413166055, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0413166055, kbodata: http://data.kbodata.be/organisation/0413_166_055, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0413166055, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0413166055, opencorporates: https://opencorporates.com/companies/be/0413166055, opencorporatesapi: https://api.opencorporates.com/companies/be/0413166055, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0413166055, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0413166055, trendstop: http://trendstop.knack.be/en/detail/0413166055, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0413166055",260,322889.907,2022.0
NIPRO MEDICAL EUROPE,"Blokhuisstraat 42, 2800 Mechelen, Belgium","46460, 46460, 51460, 51460",444276727,1991-05-27,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=444276727, databe: https://data.be/en/company/0444276727, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0444276727&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0444276727, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=444276727, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0444276727, kbodata: http://data.kbodata.be/organisation/0444_276_727, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0444276727, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0444276727, opencorporates: https://opencorporates.com/companies/be/0444276727, opencorporatesapi: https://api.opencorporates.com/companies/be/0444276727, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0444276727, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0444276727, trendstop: http://trendstop.knack.be/en/detail/0444276727, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0444276727",65,286378.745,2022.0
PHARMA LOGISTICS,"Zandvoortstraat 3, 2800 Mechelen, Belgium","46460, 46460, 51460, 51460",420775508,1980-07-02,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=420775508, databe: https://data.be/en/company/0420775508, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0420775508&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0420775508, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=420775508, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0420775508, kbodata: http://data.kbodata.be/organisation/0420_775_508, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0420775508, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0420775508, opencorporates: https://opencorporates.com/companies/be/0420775508, opencorporatesapi: https://api.opencorporates.com/companies/be/0420775508, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0420775508, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0420775508, trendstop: http://trendstop.knack.be/en/detail/0420775508, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0420775508",246,256255.922,2022.0
ASTRAZENECA,"Alfons Gossetlaan 40, 1702 Dilbeek, Belgium","46460, 46460, 51460, 24422, 24421",400165679,1948-11-28,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=400165679, databe: https://data.be/en/company/0400165679, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0400165679&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0400165679, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=400165679, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0400165679, kbodata: http://data.kbodata.be/organisation/0400_165_679, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0400165679, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0400165679, opencorporates: https://opencorporates.com/companies/be/0400165679, opencorporatesapi: https://api.opencorporates.com/companies/be/0400165679, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0400165679, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0400165679, trendstop: http://trendstop.knack.be/en/detail/0400165679, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0400165679",187,226128.219,2022.0
BECTON DICKINSON DISTRIBUTION CENTER,"Laagstraat 57, 9140 Temse, Belgium","52100, 46460, 63406, 63122",440709602,1990-04-27,"companyweb: https://www.companyweb.be/gratisBTWopzoeken_rechercherTVAgratuit_detail.asp?source=&vat=440709602, databe: https://data.be/en/company/0440709602, ejustice: http://www.ejustice.just.fgov.be/cgi_tsv/tsv_rech.pl?language=nl&btw=0440709602&liste=Liste, finactum: https://www.finactum.be/nl/company/BE0440709602, graydon: http://www.graydon.be/portal_creditel/link.aspx?typ=rap&lnk=440709602, infobel: https://www.infobel.com/nl/belgium/financial/vat/BE0440709602, kbodata: http://data.kbodata.be/organisation/0440_709_602, kbopub: http://kbopub.economie.fgov.be/kbopub/zoeknummerform.html?nummer=0440709602, nbb: http://cri.nbb.be/bc9/web/catalog?lang=N&companyNr=0440709602, opencorporates: https://opencorporates.com/companies/be/0440709602, opencorporatesapi: https://api.opencorporates.com/companies/be/0440709602, socialsecurity: https://www.socialsecurity.be/app014/wrep/rep_gp.do?language=nl&ACCESS_TYPE=0&ACTION=1&REP_KEY_TYPE=12&REP_LIMIT_DATE=&REP_KEY_VALUE=0440709602, staatsbladmonitor: https://www.staatsbladmonitor.be/bedrijfsfiche.html?ondernemingsnummer=0440709602, trendstop: http://trendstop.knack.be/en/detail/0440709602, vies: http://ec.europa.eu/taxation_customs/vies/vatResponse.html?memberStateCode=BE&number=0440709602",475,201724.396,2023.0
